,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.333506658,103.8
395932",,,

95,NANYANG ACADEMY OFFINEARTS,1.Permanent E-bin,"80 BENCOOLEN STREET,LEVEL 1 WING A,LIFT LOBBY",189655,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.299908895,103.8
517571",,,

96,"NANYANG POLYTECHNIC,BLOCK E (NORTH CANTEEN)",1.Permanent E-bin,"ANG MO KIO AVENUE 8,NANYANG POLYTECHNIC,BLOCK E (NORTH CANTEEN)",569830,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.380340899,103.8
480833",,,

97,NANYANG TECHNOLOGICAL UNIVERSITY HALL 6,1. Permanent E-bin,"21 LIEN YING CHOWDRIVE, NANYANG TECHNOLOGICAL UNIVERSITY, HALL 6 BLOCKA",637296,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.347807088,103.6
869294",,,

98,NANYANG TECHNOLOGICAL UNIVERSITY NORTH SPINE PLAZA,1.Permanent E-bin,"76 NANYANG DRIVE, SPIRAL STAIRCASE NEAR LECTURE THEATRE 1A",637331,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.347400523,103.6
805119",,,

99,NATIONAL PARKS BOARD HQ,1.Permanent E-bin,"1 CLUNY ROAD,NATIONAL PARKS BOARD HQ,SINGAPOREBOTANIC GARDENS, NASSIM GATE INFO COUNTER",259569,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.322156643,103.8
181859",,,

100,NEE SOON CENTRAL CC,1.Permanent E-bin,"1 NORTHPOINT DRIVE NEE SOON CENTRAL COMMUNITY CLUB,NEE SOON CENTRAL CC, INSIDENORTHPOINT CITY",768019,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.42654,103.83593",,,


101,NEE SOON EAST CC,1. Permanent E-bin,"1 YISHUN AVENUE9,NEE SOON EAST CC, MAIN LOBBY",768893,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.431020876,103.8
384881",,,

102,NEE SOON SOUTH CC,1.Permanent E-bin,"30 YISHUN STREET 81,NEE SOON SOUTH CC, VOID DECK(TEMPORARY) CC UNDERGOING RENOVATION",768455,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.414973677,103.8
348798",,,

103,NEWEST,1. Permanent E-bin,"1 WEST COAST DRIVE, #01-111,LIFT LOBBY C",128020,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.316424847,103.7
574393",,,

104,NG TENG FONG GENERAL HOSPITAL,1.Permanent E-bin,"1 JURONG EAST STREET 21, NG TENG FONG GENERAL HOSPITAL, TOWER B,LEVEL 2",609606,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.305143882,103.9
158343",,,

105,"NGEE ANN POLYTECHNIC,BLK 22",1.Permanent E-bin,"535 CLEMENTIROAD,NGEE ANN POLYCLINIC, BLK 22,FOODCOURT",599489,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.333784623,103.7
752943",,,

106,NOVENASQUARE,1.Permanent E-bin,"238 THOMSON ROAD, NOVENA SQUARE,LEVEL 3",307683,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.320311007,103.8
436568",,,

107,NUH,1.Permanent E-bin,"1E KENT RIDGE ROAD,LEVEL 1",119228,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.29242695,103.78
34808",,,

108,OASISTERRACES,1.Permanent E-bin,"681 PUNGGOL DRIVE, OASISTERRACES, LVL 1 OPPOSITE ANYTIME FITNESS",820681,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.402634601,103.9
132706",,,

109,ONERAFFLESQUAY,1.Permanent E-bin,"1 RAFFLES QUAY, #B2, ESCALATOR WALKWAY",48583,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.281500889,103.8
521605",,,

110,OUR TAMPINES HUB,1.Permanent E-bin,"1 TAMPINESWALK,CENTRAL PLAZA(LIBRARY EXIT)",528523,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.352180469,103.9
40598",,,

111,PASIR RIS WEST PLAZA,1. Permanent E-bin,"735 PASIR RIS STREET 72,PASIR RIS WEST PLAZA, MAIN ENTRANCE",510735,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.379890741,103.9
367366",,,

112,PASSION WAVE@ JURONG LAKEGARDENS,1. Permanent E-bin,"100 YUAN CHING RD,RECEPTION",618662,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.339248051,103.7
271601",,,

113,PASSION WAVE@ MARINA BAY,1.Permanent E-bin,"11 RHU CROSS,MAINENTRANCE",437440,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.295271173,103.8
680738",,,

114,PAYA LEBAR KOVAN CC,1. Permanent E-bin,"207 HOUGANG STREET 21,MAIN ENTRANCE LOBBY",530207,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.357798613,103.8
860921",,,

115,PAYA LEBAR QUARTER (PLQ),1.Permanent E-bin,"10 PAYA LEBAR ROAD,PAYA LEBAR QUARTER (PLQ),LEVEL 1",409057,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.317582311,103.8
928322",,,

116,PAYA LEBAR SQUARE,1. Permanent E-bin,"60 PAYA LEBAR RD, PAYA LEBAR SQUARE, LEVEL 2 CARPARK BESIDE OFFICELIFT LOBBY 1",409051,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.31881487,103.89
25808",,,

117,PAYA LEBAR ZONE5 RC,1. Permanent E-bin,"116 HOUGANG AVENUE 1,PAYA LEBAR ZONE5 RC, #01-1206,VOID DECK",530116,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.35313872,103.88
77274",,,

118,PINE CLOSE RC,1. Permanent E-bin,"5 PINE CLOSE, #01-141, VOIDDECK",391005,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.307192504,103.8
825854",,,

119,PIONEER MALL,1.Permanent E-bin,"638 JURONG WEST STREET 61,PIONEER MALL,MAIN LOBBY NEAR MACDONALDS",640638,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.341673319,103.6
972445",,,

120,PIONEER ZONE 12 RN,1.Permanent E-bin,"653A JURONG WEST ST 61,PIONEER ZONE 12 RN, #01-422, VOID DECK",641653,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.336891377,103.6
966388",,,

121,PIONEER ZONE 9 RN,1.Permanent E-bin,"602 JURONG WEST ST 65,VOID DECK",640602,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.339253398,103.7
002192",,,

122,POTONG PASIR CC,1.Permanent E-bin,"6 POTONG PASIR AVENUE 2,CONSTITUENCY OFFICE",358361,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.332633815,103.8
671517",,,

123,PUNGGOL 21 CC,1.Permanent E-bin,"80 PUNGGOL FIELD,PUNGGOL 21 CC, MAIN LOBBY",828815,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.393443165,103.9
136646",,,

124,PUNGGOL CLOVER RN,1. Permanent E-bin,"204A PUNGGOL FIELD,PUNGGOL CLOVER RN, #01-288, VOID DECK",821204,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.398778276,103.9
029109",,,

125,PUNGGOL OASIS RC,1.Permanent E-bin,"176C EDGEFIELD PLAINS, PUNGGOL OASISRC, #01-569, VOID DECK",821175,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.397404216,103.9
089737",,,

126,PUNGGOL PARC TERRACE RN,1.Permanent E-bin,"312B SUMANG LINK, #01-171",823312,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.411190097,103.9
006538",,,

127,PUNGGOL VISTA CC,1.Permanent E-bin,"602 PUNGGOL CENTRAL,PUNGGOL VISTA CC,MAINENTRANCE",820602,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.403284292,103.9
072886",,,

128,PUNGGOL WEST CC,1.Permanent E-bin,"259C PUNGGOL FIELD,PUNGGOL WEST CC, VOIDDECK",823259,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.404534086,103.8
956655",,,

129,QUEENSTOWN CC,1. Permanent E-bin,"365 COMMONWEALTH AVE,MAIN ENTRANCE",149732,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.299150242,103.8
013051",,,

130,RAFFLES CITY SHOPPING CENTRE,1. Permanent E-bin,252 NORTH BRIDGE RD,179103,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.294009999,103.8
531044",,,

131,REPAIR KOPITIAM,1.Permanent E-bin,"565 PASIR RIS ST 51, REPAIR KOPITIAM,VOIDDECK",510565,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.36882714,103.95
02962",,,

132,REPUBLIC POLYTECHNIC,1.Permanent E-bin,"9 WOODLANDSAVENUE 9,REPUBLIC POLYTECHNIC, W3,LEVEL 3 FOODCOURT (UNDER RENOVATION)",738964,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.443782044,103.7
843188",,,

133,RESORT WORLD SENTOSA,1.Permanent E-bin,"8 SENTOSA GATEWAY,BESIDE DIN TAIFUNG RESTAURANT (#01-217)",98269,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.257090489,103.8
204379",,,

134,REVENUEHOUSE(LEVEL 2),1. Permanent E-bin,"55 NEWTON RD, LEVEL 2",307987,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.319357047,103.8
420847",,,

135,RIVERVALEARC RC,1. Permanent E-bin,"180C RIVERVALE CRESCENT,RIVERVALE ARC RC,#01-367, VOIDDECK",543180,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.389491502,103.9
096604",,,

136,RIVERVALECOURT RC,1.Permanent E-bin,"110 RIVERVALE WALK,RIVERVALE COURT RC, VOID DECK",540110,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.383492335,103.9
003124",,,

137,RIVERVALEPLAZA,1. Permanent E-bin,"118 RIVERVALE DRIVE, RIVERVALEPLAZA, MAIN LOBBY",540118,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.385504208,103.9
019884",,,

138,RIVERVALESPRING RC,1.Permanent E-bin,"135 RIVERVALE STREET,RIVERVALESPRING RC,#01-730,VOID DECK",540135,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.388141051,103.9
05022",,,

139,RIVERVALEVISTA RC,1. Permanent E-bin,"188B RIVERVALEDRIVE, RIVERVALE VISTA RC, 01-1076, VOID DECK",542188,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.394540687,103.9
05459",,,

140,SEMBAWANG MART,1.Permanent E-bin,"511 CANBERRAROAD,SEMBAWANG MART,MAIN LOBBY",750511,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.453845188,103.8
195433",,,

141,SERANGOON CC,1.Permanent E-bin,"10 SERANGOON NORTH AVENUE2,ATM LOBBY AREA",555877,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.370054869,103.8
739276",,,

142,SIGLAP EAST RC,1. Permanent E-bin,"167 BEDOK SOUTH AVE 3, #01-501",460167,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.319607995,103.9
451288",,,

143,SIGLAP LUCKY VALLEY RC,1.Permanent E-bin,"71 BEDOKSOUTH ROAD, #01-250",460071,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.320376247,103.9
425686",,,

144,SIM LIM SQUARE,1.Permanent E-bin,"1 ROCHOR CANAL RD,SIM LIM SQUARE,LOADING BAY",188504,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.302906588,103.8
530319",,,

145,SINGLIFEWITH AVIVA,1.Permanent E-bin,"18 ROBINSON ROAD,#04-03",48547,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.281833785,103.8
507373",,,

146,SIT @ DOVER,1.Permanent E-bin,"10 DOVER DRIVE, SIT @ DOVER,MAIN LOBBY",138683,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.299265853,103.7
783012",,,

147,STAGMONT VIEWRC,1. Permanent E-bin,753 CHOA CHU KANG NORTH 5,680753,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.392340048,103.7
468987",,,

148,SUNSHINE PLACE @ 475 CHOA CHU KANG AVENUE 3,1.Permanent E-bin,"475 CHOA CHU KANG AVENUE 3,WALKWAY CORRIDOR",680475,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.377897277,103.7
390155",,,

149,TAMAN JURONG SHOPPING CENTRE,1.Permanent E-bin,"399 YUNG SHENG ROAD, TAMAN JURONG SHOPPING CENTRE, COMMON CORRIDOR",610399,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.334975603,103.7
206636",,,

150,TAMPINESCHANGKAT CC,1. Permanent E-bin,"13 TAMPINES STREET 11,MAINENTRANCE",529453,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.34581335,103.94
76878",,,

151,TAMPINESCHANGKAT ZONE 4 RN,1. Permanent E-bin,"285 TAMPINESSTREET 22, TAMPINES CHANGKAT ZONE4 RC, VOIDDECK",520285,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.350010742,103.9
528161",,,


152,TAMPINESCHANGKAT ZONE 5 RN,1. Permanent E-bin,"124 TAMPINESSTREET 11, TAMPINES CHANGKAT ZONE5 RC, VOIDDECK",521124,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.345184289,103.9
497933",,,

153,TAMPINESCHANGKAT ZONE 8 RN,1. Permanent E-bin,"364 TAMPINESSTREET 34, TAMPINES CHANGKAT ZONE8 RC, VOIDDECK",520364,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.357202821,103.9
601395",,,

154,TAMPINESCOURTVIEWRC,1. Permanent E-bin,"730 TAMPINESSTREET 71, TAMPINESCOURTVIEWRC,VOID DECK",520730,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.356706065,103.9
334992",,,

155,TAMPINESEAST ZONE3 RN,1.Permanent E-bin,"232 TAMPINES STREET 21,#01-639,VOIDDECK",521232,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.356340822,103.9
486502",,,

156,TAMPINESGREENVALE RC,1.Permanent E-bin,"736 TAMPINES STREET 72,TAMPINESGREENVALE RC,VOID DECK",520736,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.359041598,103.9
343834",,,

157,TAMPINESNORTH ZONE 3 RC,1.Permanent E-bin,"430 TAMPINES STREET 41,TAMPINESNORTH ZONE 3 RC, VOID DECK",520430,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.359552581,103.9
501482",,,

158,TAMPINESSPRING RN,1. Permanent E-bin,"880 TAMPINES AVENUE 8,TAMPINESSPRING RN, VOID DECK",520880,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.351326082,103.9
314788",,,

159,TAMPINESVILLE RN,1. Permanent E-bin,"842 TAMPINES STREET 82,TAMPINESVILLE RN,VOID DECK",520842,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.351738509,103.9
359524",,,

160,TANJONG PAGAR CC,1. Permanent E-bin,101 CANTONMENT ROAD,89774,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.276166993,103.8
415842",,,

161,TECK GHEE CC,1.Permanent E-bin,"861 ANG MO KIO AVENUE10, REAR ENTRANCE",569734,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.363088685,103.8
535361",,,

162,TELOK BLANGAH CC,1.Permanent E-bin,"450 TELOK BLANGAH STREET 31, TELOK BLANGAH CC,RECEPTION AREA",108943,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.274844281,103.8
078886",,,

163,TEMASEK POLYTECHNIC,1.Permanent E-bin,"21 TAMPINESAVENUE 1,TEMASEK POLYTECHNIC,MAIN ENTRANCE FOYER",529757,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.34594607,103.93
26315",,,

164,THECATHAY,1. Permanent E-bin,"2 HANDY RD, THE CATHAY,LOADING BAY",229233,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.299183738,103.8
477898",,,

165,THECENTREPOINT,1.Permanent E-bin,"176 ORCHARD ROAD,LEVEL 3",238843,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.301620085,103.8
398261",,,

166,THEGRANDSTAND (TURFCITY),1.Permanent E-bin,"200 TURF CLUB ROAD DBSTHEGRANDSTAND, THE GRANDSTAND (TURF CITY),MAIN LOBBY CONCEIRGE",287994,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.337593733,103.7
937074",,,

167,THEREGENCY HOUSE - ALFA TECH,1.Permanent E-bin,"123 PENANG ROAD,THEREGENCY HOUSE,LEVEL 1",238465,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.299553122,103.8
417221",,,

168,THEURACENTRE,1.Permanent E-bin,45 MAXWELL RD,69118,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.279517646,103.8
452095",,,

169,THOMSON PLAZA,1.Permanent E-bin,"301 UPPER THOMSON ROAD, THOMSONPLAZA, MAINENTRANCE",574408,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.355128857,103.8
310533",,,

170,TOA PAYOH CENTRAL CC,1. Permanent E-bin,"93 TOAPAYOH CENTRAL,MAIN ENTRANCE",319194,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.334655721,103.8
504439",,,

171,TOA PAYOH EAST CC,1. Permanent E-bin,"160 LORONG 6 TOA PAYOH, MAINENTRANCE",319380,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.336274898,103.8
547002",,,

172,TOA PAYOH SOUTH CC,1.Permanent E-bin,"1999 LORONG 8 TOA PAYOH, MAIN ENTRANCE",319258,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.334847803,103.8
594095",,,

173,TOA PAYOH VIEWRC,1. Permanent E-bin,"122 LORONG 2 TOAPAYOH VIEWRC, READING CORNER",310122,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.339774064,103.8
465227",,,

174,TOA PAYOH WEST CC,1. Permanent E-bin,"200 LORONG 2 TOA PAYOH, SIDE OFBUILDING",319642,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.335434421,103.8
449619",,,

175,ULU PANDAN CC,1. Permanent E-bin,"170 GHIMMOH ROAD,CORRIDOR WALKWAY",279621,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.31205215,103.78
9581",,,

176,UTOWN- STEPHEN RIADY CENTRE,1. Permanent E-bin,"2 COLLEGEAVEWEST, UTOWN- STEPHEN RIADY CENTRE,LEVEL 1 IN FRONT OF WAACOWRESTAURANT",138607,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.304794833,103.7
724616",,,

177,VALLEY POINT,1.Permanent E-bin,"491 RIVER VALLEY ROAD,VALLEY POINT, #03-01",248371,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.29308265,103.82
71032",,,

178,VISTA POINT,1.Permanent E-bin,"548 WOODLANDSDRIVE 44,LEVEL 1",730548,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.430993396,103.7
938596",,,

179,WEST COAST CC,1. Permanent E-bin,"2 CLEMENTIWEST STREET 2, WALKWAY CORRIDOR",129605,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.302645569,103.7
648321",,,

180,WESTWOOD PRIMARY SCHOOL,1. Permanent E-bin,"1 JURONG WEST ST 71,SECURITY GUARDPOST",642648,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.347283647,103.6
998959",,,

181,WHAMPOA CC,1. Permanent E-bin,"300 WHAMPOA DRIVE, BESIDECONSTITUENCY OFFICE",327737,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.324701288,103.8
571053",,,

182,WISMA GEYLANG SERAICC,1.Permanent E-bin,"1 ENGKU AMAN TURN,CC OFFICEENTRANCE",408528,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.316494434,103.8
969417",,,

